*it=110000 cost=0.4370289742946625 creg=0.08291417121887207
(0.60819999999999996, 0.98660000000000003, 0.99970000000000003)
(0.58340000000000003, 0.97970000000000002, 0.99929999999999997)
*it=111000 cost=0.4420570135116577 creg=0.08260780334472656
(0.59519999999999995, 0.98750000000000004, 0.99960000000000004)
(0.59140000000000004, 0.98089999999999999, 0.99950000000000006)
*it=112000 cost=0.4264386296272278 creg=0.0823062801361084
(0.61419999999999997, 0.98740000000000006, 0.99950000000000006)
(0.60270000000000001, 0.9849, 0.99970000000000003)
*it=113000 cost=0.41853398084640503 creg=0.08199142456054688
(0.62749999999999995, 0.98619999999999997, 0.99929999999999997)
(0.60809999999999997, 0.98419999999999996, 0.99939999999999996)
*it=114000 cost=0.42661136388778687 creg=0.08168895721435547
(0.60770000000000002, 0.98829999999999996, 0.99970000000000003)
(0.5927, 0.98399999999999999, 0.99950000000000006)
*it=115000 cost=0.4472431242465973 creg=0.08138914108276367
(0.59799999999999998, 0.98570000000000002, 0.99960000000000004)
(0.57020000000000004, 0.97509999999999997, 0.99829999999999997)
*it=116000 cost=0.4135757088661194 creg=0.0810881233215332
(0.63060000000000005, 0.98770000000000002, 1.0)
(0.60370000000000001, 0.98370000000000002, 0.99880000000000002)
*it=117000 cost=0.4235670268535614 creg=0.08078769683837891
(0.61829999999999996, 0.9859, 0.99980000000000002)
(0.60119999999999996, 0.98370000000000002, 0.99919999999999998)
*it=118000 cost=0.41253629326820374 creg=0.08050254821777345
(0.62109999999999999, 0.98880000000000001, 0.99990000000000001)
(0.6109, 0.98509999999999998, 0.99970000000000003)
*it=119000 cost=0.4100750982761383 creg=0.0802145004272461
(0.62619999999999998, 0.98999999999999999, 0.99970000000000003)
(0.59789999999999999, 0.9829, 0.99970000000000003)
*it=120000 cost=0.4286786913871765 creg=0.07991564273834229
(0.61509999999999998, 0.98599999999999999, 0.99960000000000004)
(0.5968, 0.98219999999999996, 0.99939999999999996)
*it=121000 cost=0.41631415486335754 creg=0.07963255405426026
(0.61639999999999995, 0.98829999999999996, 0.99990000000000001)
(0.60599999999999998, 0.98360000000000003, 0.999)
*it=122000 cost=0.4140268564224243 creg=0.07933987617492676
(0.63290000000000002, 0.98619999999999997, 0.99970000000000003)
(0.6038, 0.98280000000000001, 0.99909999999999999)
*it=123000 cost=0.4036136865615845 creg=0.07905498981475831
(0.63119999999999998, 0.98909999999999998, 0.99970000000000003)
(0.61250000000000004, 0.98470000000000002, 0.99960000000000004)
*it=124000 cost=0.40493354201316833 creg=0.07876971244812012
(0.63109999999999999, 0.98709999999999998, 0.99960000000000004)
(0.6008, 0.98260000000000003, 0.999)
*it=125000 cost=0.41805940866470337 creg=0.07850336074829102
(0.62080000000000002, 0.98680000000000001, 0.99929999999999997)
(0.60950000000000004, 0.98370000000000002, 0.99929999999999997)
*it=126000 cost=0.40711408853530884 creg=0.07821960926055908
(0.63619999999999999, 0.98860000000000003, 0.99970000000000003)
(0.59009999999999996, 0.98250000000000004, 0.99890000000000001)
*it=127000 cost=0.3950297236442566 creg=0.0779500150680542
(0.63980000000000004, 0.99019999999999997, 0.99970000000000003)
(0.60089999999999999, 0.98250000000000004, 0.99960000000000004)
