*it=105000 cost=0.5777296423912048 creg=0.21867864608764648
(0.61099999999999999, 0.98529999999999995, 0.99970000000000003)
(0.59350000000000003, 0.98109999999999997, 0.99880000000000002)
*it=106000 cost=0.5802589058876038 creg=0.2175044059753418
(0.60509999999999997, 0.98460000000000003, 0.99970000000000003)
(0.59050000000000002, 0.9798, 0.99919999999999998)
*it=107000 cost=0.579598069190979 creg=0.21633413314819336
(0.60399999999999998, 0.98419999999999996, 0.99950000000000006)
(0.58279999999999998, 0.97870000000000001, 0.99939999999999996)
*it=108000 cost=0.5958884954452515 creg=0.21515262603759766
(0.59460000000000002, 0.98319999999999996, 0.99939999999999996)
(0.59509999999999996, 0.98040000000000005, 0.99950000000000006)
*it=109000 cost=0.6031507253646851 creg=0.21399600982666017
(0.58450000000000002, 0.98070000000000002, 0.99919999999999998)
(0.57889999999999997, 0.98080000000000001, 0.99909999999999999)
*it=110000 cost=0.5843228697776794 creg=0.2128388786315918
(0.59570000000000001, 0.98399999999999999, 0.99929999999999997)
(0.57599999999999996, 0.97829999999999995, 0.99870000000000003)
*it=111000 cost=0.5719076991081238 creg=0.21169679641723632
(0.59730000000000005, 0.98640000000000005, 0.99950000000000006)
(0.59399999999999997, 0.98129999999999995, 0.99919999999999998)
*it=112000 cost=0.5662285089492798 creg=0.21056482315063477
(0.61519999999999997, 0.98509999999999998, 0.99970000000000003)
(0.59909999999999997, 0.98260000000000003, 0.99960000000000004)
*it=113000 cost=0.5707943439483643 creg=0.20942556381225585
(0.61539999999999995, 0.98299999999999998, 0.99919999999999998)
(0.59609999999999996, 0.98270000000000002, 0.99939999999999996)
*it=114000 cost=0.5773219466209412 creg=0.20830265045166016
(0.60250000000000004, 0.9849, 0.99970000000000003)
(0.57930000000000004, 0.97899999999999998, 0.99939999999999996)
*it=115000 cost=0.5969415903091431 creg=0.20719724655151367
(0.58340000000000003, 0.98250000000000004, 0.99960000000000004)
(0.5585, 0.97219999999999995, 0.99829999999999997)
*it=116000 cost=0.5528231263160706 creg=0.20609138488769532
(0.62350000000000005, 0.98519999999999996, 0.99980000000000002)
(0.60019999999999996, 0.98319999999999996, 0.99880000000000002)
*it=117000 cost=0.5562719702720642 creg=0.20498966217041015
(0.6089, 0.98629999999999995, 0.99960000000000004)
(0.60319999999999996, 0.9819, 0.99939999999999996)
*it=118000 cost=0.5643146634101868 creg=0.2038959503173828
(0.60570000000000002, 0.98540000000000005, 0.99950000000000006)
(0.59989999999999999, 0.98199999999999998, 0.99950000000000006)
*it=119000 cost=0.5625816583633423 creg=0.20281147003173827
(0.60260000000000002, 0.98599999999999999, 0.99980000000000002)
(0.58530000000000004, 0.97929999999999995, 0.99960000000000004)
*it=120000 cost=0.55876225233078 creg=0.20172693252563478
