*it=86000 cost=1.448196291923523 creg=0.8053565979003907
(0.51359999999999995, 0.93689999999999996, 0.99299999999999999)
(0.50719999999999998, 0.9325, 0.98970000000000002)
*it=87000 cost=1.45441734790802 creg=0.7942328929901123
(0.52059999999999995, 0.93379999999999996, 0.99170000000000003)
(0.50249999999999995, 0.92949999999999999, 0.98960000000000004)
*it=88000 cost=1.3858592510223389 creg=0.7832859992980957
(0.52329999999999999, 0.94359999999999999, 0.99309999999999998)
(0.51100000000000001, 0.93179999999999996, 0.99050000000000005)
*it=89000 cost=1.389777421951294 creg=0.7725319385528565
(0.51759999999999995, 0.94179999999999997, 0.99299999999999999)
(0.51570000000000005, 0.93600000000000005, 0.99009999999999998)
*it=90000 cost=1.3818485736846924 creg=0.7619553089141846
(0.52249999999999996, 0.93979999999999997, 0.99160000000000004)
(0.50749999999999995, 0.93310000000000004, 0.99129999999999996)
*it=91000 cost=1.4122958183288574 creg=0.7515373229980469
(0.50560000000000005, 0.93569999999999998, 0.9919)
(0.48259999999999997, 0.92349999999999999, 0.98870000000000002)
*it=92000 cost=1.3327867984771729 creg=0.7412911415100099
(0.53590000000000004, 0.94540000000000002, 0.99319999999999997)
(0.50929999999999997, 0.93930000000000002, 0.99150000000000005)
*it=93000 cost=1.3490535020828247 creg=0.7311669349670411
(0.51819999999999999, 0.94020000000000004, 0.99339999999999995)
(0.51619999999999999, 0.93310000000000004, 0.99170000000000003)
*it=94000 cost=1.3383140563964844 creg=0.721269178390503
(0.52329999999999999, 0.93979999999999997, 0.99280000000000002)
(0.51639999999999997, 0.93820000000000003, 0.99060000000000004)
*it=95000 cost=1.3358471393585205 creg=0.7114745616912842
(0.51819999999999999, 0.93999999999999995, 0.99229999999999996)
(0.50770000000000004, 0.92800000000000005, 0.98929999999999996)
*it=96000 cost=1.3333848714828491 creg=0.7018550395965577
(0.50980000000000003, 0.93989999999999996, 0.99199999999999999)
(0.49509999999999998, 0.92959999999999998, 0.98960000000000004)
*it=97000 cost=1.2705092430114746 creg=0.6923937797546387
(0.53680000000000005, 0.94730000000000003, 0.99409999999999998)
(0.52100000000000002, 0.93589999999999995, 0.99119999999999997)
*it=98000 cost=1.2795108556747437 creg=0.6830480575561524
(0.5292, 0.9466, 0.9929)
(0.52010000000000001, 0.93279999999999996, 0.98950000000000005)
*it=99000 cost=1.2951874732971191 creg=0.6738386631011963
(0.52149999999999996, 0.93840000000000001, 0.99360000000000004)
(0.4955, 0.92910000000000004, 0.99099999999999999)
*it=100000 cost=1.2485473155975342 creg=0.6648046016693115
(0.53739999999999999, 0.94799999999999995, 0.99319999999999997)
(0.52549999999999997, 0.93999999999999995, 0.99119999999999997)
*it=101000 cost=1.2995611429214478 creg=0.6559656620025636
(0.50690000000000002, 0.93789999999999996, 0.99329999999999996)
(0.49230000000000002, 0.92869999999999997, 0.99019999999999997)
*it=102000 cost=1.2234292030334473 creg=0.6472584247589112
(0.52780000000000005, 0.94769999999999999, 0.99339999999999995)
(0.51870000000000005, 0.93669999999999998, 0.99070000000000003)
*it=103000 cost=1.220854640007019 creg=0.6386622905731202
(0.53290000000000004, 0.9486, 0.99390000000000001)
(0.51949999999999996, 0.93589999999999995, 0.99370000000000003)
*it=104000 cost=1.2161433696746826 creg=0.6302064895629883
(0.53769999999999996, 0.94750000000000001, 0.99239999999999995)
(0.51259999999999994, 0.93999999999999995, 0.99170000000000003)
*it=105000 cost=1.1744256019592285 creg=0.6219336032867432
(0.5423, 0.95150000000000001, 0.99470000000000003)
(0.52339999999999998, 0.94110000000000005, 0.99150000000000005)
*it=106000 cost=1.1774471998214722 creg=0.6137584686279297
(0.54979999999999996, 0.94869999999999999, 0.99370000000000003)
(0.5272, 0.93859999999999999, 0.99070000000000003)
*it=107000 cost=1.2344770431518555 creg=0.6057485103607179
(0.50890000000000002, 0.93789999999999996, 0.99380000000000002)
(0.49430000000000002, 0.93130000000000002, 0.99029999999999996)
*it=108000 cost=1.1864099502563477 creg=0.5978131294250488
(0.52729999999999999, 0.94610000000000005, 0.99399999999999999)
(0.51480000000000004, 0.93520000000000003, 0.9899)
*it=109000 cost=1.148190975189209 creg=0.5900168895721436
(0.54239999999999999, 0.94910000000000005, 0.99460000000000004)
(0.5131, 0.93640000000000001, 0.99080000000000001)
*it=110000 cost=1.174918532371521 creg=0.5823356628417969
(0.53469999999999995, 0.94899999999999995, 0.99250000000000005)
(0.51690000000000003, 0.93830000000000002, 0.99080000000000001)
*it=111000 cost=1.1573817729949951 creg=0.5748015880584717
(0.54259999999999997, 0.94399999999999995, 0.99299999999999999)
(0.51839999999999997, 0.93740000000000001, 0.99209999999999998)
*it=112000 cost=1.103653073310852 creg=0.5673243522644044
(0.54610000000000003, 0.95579999999999998, 0.99519999999999997)
(0.53149999999999997, 0.94640000000000002, 0.99209999999999998)
*it=113000 cost=1.0932939052581787 creg=0.5601196765899659
(0.54920000000000002, 0.95409999999999995, 0.99529999999999996)
(0.53620000000000001, 0.94230000000000003, 0.99170000000000003)
*it=114000 cost=1.1093028783798218 creg=0.5529461860656738
(0.54569999999999996, 0.94950000000000001, 0.99339999999999995)
(0.53249999999999997, 0.94010000000000005, 0.99270000000000003)
*it=115000 cost=1.111137866973877 creg=0.5459116935729981
(0.53320000000000001, 0.95130000000000003, 0.99409999999999998)
(0.51880000000000004, 0.9405, 0.99039999999999995)
*it=116000 cost=1.0838747024536133 creg=0.5389856338500977
(0.54820000000000002, 0.95469999999999999, 0.995)
(0.52949999999999997, 0.93969999999999998, 0.9899)
*it=117000 cost=1.0820109844207764 creg=0.5321825027465821
(0.55030000000000001, 0.95069999999999999, 0.99490000000000001)
(0.52949999999999997, 0.93940000000000001, 0.99029999999999996)
*it=118000 cost=1.0575902462005615 creg=0.5254577159881592
(0.55869999999999997, 0.95520000000000005, 0.99460000000000004)
(0.54310000000000003, 0.94510000000000005, 0.99250000000000005)
*it=119000 cost=1.116249442100525 creg=0.5188554286956787
(0.53000000000000003, 0.94520000000000004, 0.99360000000000004)
(0.50919999999999999, 0.93540000000000001, 0.9899)
*it=120000 cost=1.0441815853118896 creg=0.5122808933258057
(0.55169999999999997, 0.95330000000000004, 0.99619999999999997)
(0.52790000000000004, 0.94259999999999999, 0.99160000000000004)
*it=121000 cost=1.0668374300003052 creg=0.5058668613433838
(0.54869999999999997, 0.94410000000000005, 0.99419999999999997)
(0.53859999999999997, 0.94310000000000005, 0.9909)
*it=122000 cost=1.083045244216919 creg=0.4996414661407471
(0.53890000000000005, 0.94520000000000004, 0.99319999999999997)
(0.52180000000000004, 0.94279999999999997, 0.99160000000000004)
*it=123000 cost=1.0560358762741089 creg=0.49345121383666996
(0.53959999999999997, 0.95140000000000002, 0.99390000000000001)
(0.52610000000000001, 0.93930000000000002, 0.99099999999999999)
*it=124000 cost=1.0232081413269043 creg=0.4873194217681885
(0.54769999999999996, 0.95489999999999997, 0.995)
(0.53580000000000005, 0.94169999999999998, 0.99109999999999998)
*it=125000 cost=0.9863545894622803 creg=0.48128366470336914
(0.56969999999999998, 0.95779999999999998, 0.99570000000000003)
(0.55769999999999997, 0.94640000000000002, 0.99329999999999996)
*it=126000 cost=0.9962414503097534 creg=0.4754061698913574
(0.56189999999999996, 0.95530000000000004, 0.99560000000000004)
(0.53380000000000005, 0.94289999999999996, 0.99070000000000003)
*it=127000 cost=0.9963729977607727 creg=0.46964602470397954
(0.55079999999999996, 0.95750000000000002, 0.99609999999999999)
(0.53380000000000005, 0.94430000000000003, 0.99229999999999996)
*it=128000 cost=0.9979262351989746 creg=0.4639447212219239
(0.55079999999999996, 0.95450000000000002, 0.99450000000000005)
(0.54059999999999997, 0.94720000000000004, 0.99380000000000002)
*it=129000 cost=0.993651270866394 creg=0.45837221145629886
(0.56020000000000003, 0.95430000000000004, 0.99409999999999998)
