*it=109000 cost=0.9336049556732178 creg=0.5590924739837647
(0.59499999999999997, 0.98440000000000005, 0.99950000000000006)
(0.57330000000000003, 0.98080000000000001, 0.99929999999999997)
*it=110000 cost=0.9039391279220581 creg=0.5511658668518067
(0.59850000000000003, 0.98680000000000001, 0.99960000000000004)
(0.57779999999999998, 0.97929999999999995, 0.99919999999999998)
*it=111000 cost=0.8915520906448364 creg=0.5433482646942139
(0.60660000000000003, 0.98670000000000002, 0.99960000000000004)
(0.5978, 0.98319999999999996, 0.99960000000000004)
*it=112000 cost=0.8745623826980591 creg=0.5356895923614502
(0.61660000000000004, 0.98809999999999998, 0.99970000000000003)
(0.6069, 0.98319999999999996, 0.99950000000000006)
*it=113000 cost=0.8514686822891235 creg=0.5281040668487549
(0.63639999999999997, 0.9879, 0.99960000000000004)
(0.60670000000000002, 0.98470000000000002, 0.99950000000000006)
*it=114000 cost=0.8590973615646362 creg=0.5206604957580566
(0.62060000000000004, 0.98780000000000001, 0.99990000000000001)
(0.59570000000000001, 0.9829, 0.99950000000000006)
*it=115000 cost=0.8468747735023499 creg=0.5133659839630127
(0.61960000000000004, 0.98909999999999998, 0.99990000000000001)
(0.60070000000000001, 0.97799999999999998, 0.99829999999999997)
*it=116000 cost=0.8301510214805603 creg=0.5061708927154541
(0.62909999999999999, 0.98870000000000002, 0.99990000000000001)
(0.61219999999999997, 0.98499999999999999, 0.99909999999999999)
*it=117000 cost=0.8309102058410645 creg=0.49906668663024906
(0.62670000000000003, 0.98839999999999995, 0.99970000000000003)
(0.60899999999999999, 0.98429999999999995, 0.99880000000000002)
*it=118000 cost=0.8149904012680054 creg=0.49210143089294434
(0.62770000000000004, 0.99019999999999997, 0.99980000000000002)
(0.6159, 0.98599999999999999, 0.99970000000000003)
*it=119000 cost=0.8168597221374512 creg=0.48522791862487796
(0.62470000000000003, 0.98809999999999998, 0.99980000000000002)
(0.59319999999999995, 0.98429999999999995, 0.99929999999999997)
*it=120000 cost=0.8195556402206421 creg=0.47846870422363286
(0.62139999999999995, 0.98629999999999995, 0.99939999999999996)
(0.60370000000000001, 0.98050000000000004, 0.99970000000000003)
*it=121000 cost=0.7998006343841553 creg=0.47182459831237794
(0.62360000000000004, 0.98829999999999996, 0.99970000000000003)
(0.60650000000000004, 0.98350000000000004, 0.99909999999999999)
*it=122000 cost=0.8031681776046753 creg=0.4652902603149414
(0.62309999999999999, 0.9879, 0.99980000000000002)
(0.59699999999999998, 0.98380000000000001, 0.99939999999999996)
*it=123000 cost=0.7791274189949036 creg=0.45883822441101074
(0.63870000000000005, 0.99029999999999996, 0.99960000000000004)
(0.6129, 0.98550000000000004, 0.99939999999999996)
*it=124000 cost=0.7700550556182861 creg=0.4524732112884522
(0.63419999999999999, 0.98740000000000006, 0.99990000000000001)
(0.61339999999999995, 0.98399999999999999, 0.99929999999999997)
*it=125000 cost=0.7609533071517944 creg=0.44624924659729004
(0.64259999999999995, 0.98970000000000002, 0.99950000000000006)
(0.61729999999999996, 0.9859, 0.99950000000000006)
*it=126000 cost=0.7544589042663574 creg=0.4401106834411621
(0.64180000000000004, 0.99039999999999995, 0.99960000000000004)
(0.59750000000000003, 0.98460000000000003, 0.99939999999999996)
*it=127000 cost=0.7390191555023193 creg=0.43409028053283694
(0.63970000000000005, 0.99099999999999999, 0.99990000000000001)
(0.6109, 0.98570000000000002, 0.99980000000000002)
*it=128000 cost=0.7513980269432068 creg=0.4281606674194336
(0.62870000000000004, 0.98760000000000003, 0.99980000000000002)
(0.60980000000000001, 0.98170000000000002, 0.99919999999999998)
*it=129000 cost=0.727832555770874 creg=0.42231597900390627
(0.6492, 0.98870000000000002, 1.0)
(0.61599999999999999, 0.98750000000000004, 0.99939999999999996)
*it=130000 cost=0.7615048885345459 creg=0.4165656566619873
(0.61080000000000001, 0.98880000000000001, 0.99990000000000001)
(0.58940000000000003, 0.98240000000000005, 0.99960000000000004)
*it=131000 cost=0.7376409769058228 creg=0.410874080657959
(0.62960000000000005, 0.98899999999999999, 0.99950000000000006)
(0.6109, 0.98470000000000002, 0.99909999999999999)
*it=132000 cost=0.7194211483001709 creg=0.4052802085876465
(0.63980000000000004, 0.98980000000000001, 0.99980000000000002)
(0.61199999999999999, 0.98440000000000005, 0.99909999999999999)
*it=133000 cost=0.7168699502944946 creg=0.39978644847869876
(0.63660000000000005, 0.98819999999999997, 0.99960000000000004)
(0.61129999999999995, 0.98460000000000003, 0.99929999999999997)
*it=134000 cost=0.7219123840332031 creg=0.3943546295166016
(0.63009999999999999, 0.98750000000000004, 0.99970000000000003)
(0.61119999999999997, 0.98580000000000001, 0.99970000000000003)
*it=135000 cost=0.6976380348205566 creg=0.3890418529510498
(0.64219999999999999, 0.99070000000000003, 0.99960000000000004)
(0.61509999999999998, 0.98250000000000004, 0.99919999999999998)
*it=136000 cost=0.6841740012168884 creg=0.3837873935699463
(0.64380000000000004, 0.99270000000000003, 0.99980000000000002)
(0.60899999999999999, 0.98440000000000005, 0.99919999999999998)
*it=137000 cost=0.7093886733055115 creg=0.3786149024963379
(0.625, 0.98939999999999995, 0.99960000000000004)
(0.60070000000000001, 0.98429999999999995, 0.99929999999999997)
