*it=0 cost=2.4620866775512695 creg=0.7562957763671876
(0.61829999999999996, 0.98550000000000004, 0.99980000000000002)
(0.59419999999999995, 0.98170000000000002, 0.99929999999999997)
*it=78000 cost=0.6139301657676697 creg=0.26247847080230713
(0.61050000000000004, 0.98699999999999999, 0.99970000000000003)
(0.59360000000000002, 0.98070000000000002, 0.99919999999999998)
*it=79000 cost=0.6042575836181641 creg=0.25923426151275636
(0.61460000000000004, 0.98709999999999998, 0.99990000000000001)
(0.5958, 0.98109999999999997, 0.99870000000000003)
*it=80000 cost=0.6174039840698242 creg=0.2559563398361206
(0.60229999999999995, 0.98699999999999999, 0.99939999999999996)
(0.58440000000000003, 0.97889999999999999, 0.99960000000000004)
*it=81000 cost=0.6645439267158508 creg=0.25279734134674076
(0.56089999999999995, 0.98129999999999995, 0.99950000000000006)
(0.54000000000000004, 0.97360000000000002, 0.99909999999999999)
*it=82000 cost=0.6015476584434509 creg=0.24969217777252198
(0.60870000000000002, 0.98729999999999996, 0.99950000000000006)
(0.59130000000000005, 0.97799999999999998, 0.99939999999999996)
*it=83000 cost=0.6115649342536926 creg=0.2465737581253052
(0.60309999999999997, 0.9839, 0.99929999999999997)
(0.5857, 0.98070000000000002, 0.99880000000000002)
*it=84000 cost=0.6304100751876831 creg=0.2435858726501465
(0.58560000000000001, 0.98260000000000003, 0.99970000000000003)
(0.57709999999999995, 0.97619999999999996, 0.99860000000000004)
*it=85000 cost=0.577234148979187 creg=0.24058940410614016
(0.62560000000000004, 0.98729999999999996, 0.99960000000000004)
(0.6089, 0.98409999999999997, 0.99909999999999999)
*it=86000 cost=0.582805335521698 creg=0.23763844966888428
(0.61419999999999997, 0.98699999999999999, 0.99960000000000004)
(0.59809999999999997, 0.9788, 0.99880000000000002)
*it=87000 cost=0.6146308779716492 creg=0.23475649356842043
(0.58750000000000002, 0.98370000000000002, 0.99929999999999997)
(0.56299999999999994, 0.9788, 0.99919999999999998)
*it=88000 cost=0.5636187195777893 creg=0.231912899017334
(0.62319999999999998, 0.98770000000000002, 0.99990000000000001)
(0.5958, 0.98119999999999996, 0.99960000000000004)
*it=89000 cost=0.5708388686180115 creg=0.22907323837280275
(0.61329999999999996, 0.98839999999999995, 0.99980000000000002)
(0.59360000000000002, 0.98019999999999996, 0.99929999999999997)
*it=90000 cost=0.5705754160881042 creg=0.22634356021881105
(0.61809999999999998, 0.98670000000000002, 0.99939999999999996)
(0.59489999999999998, 0.98199999999999998, 0.99950000000000006)
*it=91000 cost=0.5795978307723999 creg=0.22365937232971192
(0.61160000000000003, 0.98609999999999998, 0.99939999999999996)
(0.5806, 0.98119999999999996, 0.99960000000000004)
*it=92000 cost=0.5790026187896729 creg=0.2209857702255249
(0.60929999999999995, 0.98480000000000001, 1.0)
(0.57909999999999995, 0.97850000000000004, 0.99909999999999999)
*it=93000 cost=0.5635824203491211 creg=0.2183788299560547
(0.61009999999999998, 0.98880000000000001, 0.99960000000000004)
(0.59199999999999997, 0.98270000000000002, 0.99980000000000002)
*it=94000 cost=0.5402125120162964 creg=0.21576704978942873
(0.62990000000000002, 0.98980000000000001, 1.0)
(0.60929999999999995, 0.9839, 0.99970000000000003)
*it=95000 cost=0.5742360353469849 creg=0.2132199048995972
(0.60199999999999998, 0.98519999999999996, 0.99990000000000001)
(0.58240000000000003, 0.97929999999999995, 0.999)
*it=96000 cost=0.5416762232780457 creg=0.21073803901672364
(0.62270000000000003, 0.98799999999999999, 0.99929999999999997)
(0.60599999999999998, 0.98280000000000001, 0.99939999999999996)
*it=97000 cost=0.5624843835830688 creg=0.20823228359222412
(0.60809999999999997, 0.9859, 0.99980000000000002)
(0.57650000000000001, 0.98040000000000005, 0.99909999999999999)
*it=98000 cost=0.5480307340621948 creg=0.20582182407379152
(0.61250000000000004, 0.9879, 0.99980000000000002)
(0.59509999999999996, 0.97889999999999999, 0.999)
*it=99000 cost=0.5984920263290405 creg=0.2034446954727173
(0.58020000000000005, 0.98089999999999999, 0.99950000000000006)
(0.56259999999999999, 0.97589999999999999, 0.99870000000000003)
*it=100000 cost=0.5213466286659241 creg=0.20108456611633302
(0.63590000000000002, 0.98839999999999995, 0.99980000000000002)
(0.59399999999999997, 0.98480000000000001, 0.99960000000000004)
*it=101000 cost=0.5487290024757385 creg=0.19879481792449952
(0.61429999999999996, 0.98609999999999998, 0.99980000000000002)
(0.57650000000000001, 0.98099999999999998, 0.99939999999999996)
*it=102000 cost=0.5329877138137817 creg=0.1965203642845154
(0.62119999999999997, 0.9879, 0.99960000000000004)
(0.59860000000000002, 0.98150000000000004, 0.99909999999999999)
*it=103000 cost=0.5136372447013855 creg=0.19428584575653077
(0.62660000000000005, 0.9909, 0.99980000000000002)
(0.60909999999999997, 0.98350000000000004, 0.99960000000000004)
*it=104000 cost=0.5260010361671448 creg=0.19211937189102174
(0.62070000000000003, 0.98809999999999998, 0.99960000000000004)
(0.59950000000000003, 0.9819, 0.99919999999999998)
*it=105000 cost=0.5091722011566162 creg=0.18996376991271974
(0.63300000000000001, 0.98970000000000002, 0.99990000000000001)
(0.61150000000000004, 0.98160000000000003, 0.99850000000000005)
*it=106000 cost=0.503528356552124 creg=0.18782886266708376
(0.63719999999999999, 0.99009999999999998, 0.99980000000000002)
(0.60429999999999995, 0.9849, 0.99950000000000006)
*it=107000 cost=0.5119264125823975 creg=0.18575338125228882
(0.63380000000000003, 0.99009999999999998, 0.99980000000000002)
(0.60250000000000004, 0.98380000000000001, 0.99990000000000001)
*it=108000 cost=0.5733487010002136 creg=0.18369342088699342
(0.5847, 0.98229999999999995, 0.99939999999999996)
(0.57250000000000001, 0.97589999999999999, 0.99929999999999997)
*it=109000 cost=0.5109072923660278 creg=0.18167575597763064
(0.62250000000000005, 0.99009999999999998, 0.99960000000000004)
(0.59430000000000005, 0.98160000000000003, 0.99919999999999998)
*it=110000 cost=0.5273336172103882 creg=0.17966718673706056
(0.60950000000000004, 0.98719999999999997, 0.99990000000000001)
(0.57410000000000005, 0.97889999999999999, 0.99919999999999998)
*it=111000 cost=0.5275179743766785 creg=0.17772576808929444
(0.60670000000000002, 0.98780000000000001, 0.99990000000000001)
(0.58650000000000002, 0.98229999999999995, 0.99950000000000006)
*it=112000 cost=0.5081191062927246 creg=0.17580143213272095
(0.62529999999999997, 0.98829999999999996, 0.99980000000000002)
(0.60460000000000003, 0.98109999999999997, 0.99970000000000003)
*it=113000 cost=0.5037174820899963 creg=0.17385107278823853
(0.63400000000000001, 0.98740000000000006, 0.99980000000000002)
(0.60119999999999996, 0.98340000000000005, 0.99970000000000003)
*it=114000 cost=0.6127291917800903 creg=0.17197930812835693
(0.54679999999999995, 0.97809999999999997, 0.99990000000000001)
(0.52259999999999995, 0.96599999999999997, 0.99890000000000001)
*it=115000 cost=0.5182774662971497 creg=0.17016158103942872
(0.60829999999999995, 0.98909999999999998, 0.99980000000000002)
(0.57320000000000004, 0.97529999999999994, 0.99850000000000005)
*it=116000 cost=0.5064058899879456 creg=0.16832827329635622
(0.61739999999999995, 0.98750000000000004, 1.0)
(0.58509999999999995, 0.98209999999999997, 0.99939999999999996)
*it=117000 cost=0.48745232820510864 creg=0.16657663583755494
(0.629, 0.98999999999999999, 0.99990000000000001)
(0.60619999999999996, 0.98550000000000004, 0.999)
*it=118000 cost=0.4771607220172882 creg=0.16484099626541138
(0.63329999999999997, 0.99039999999999995, 0.99990000000000001)
